x,ell,P_reference,P_forward,P_backward,abs_err_forward,rel_err_forward,abs_err_backward,rel_err_backward
0.1,22,0.10648335850460169285882378057222762363937950549544083277916827260185269310794912092722099947021500811893768150,0.10648335850460169,0.64320044360838124,1.08022740738150947508427047314225447972083172739814730689205087907277900052978499188106231850E-18,1.0144565522271983000654149662679065800409195458387800892132574008839985565714251716982265185840543430359227651E-17,0.53671708510377955200552330103009058875056647839127791722083172739814730689205087907277900052978499188106231850,5.0403846445225077116730783573690773669233167128284618983780678743509779512362686679026069361065076830522965517
0.1,23,-0.11686408526583771013382851606597072860110437878414103114710431614078683296434318983005279099890297586616711549,-0.11686408526583771,0.30848747860826631,4.62649830297099655909348165997310587489710431614078683296434318983005279099890297586616711549E-18,3.9588709332271114115588218240288010847264326214934357652049560582663427931850838349156581575322780940490601805E-17,0.42535156387410401797841608868342704554904139050289103114710431614078683296434318983005279099890297586616711549,3.6397115752588267581440416616162753049336731625755216221327130926887079614970957778946378326159882952747924001
0.1,24,-0.12493243526480317617950254390062589712626340657028518511797160767710811231476130665404760828129534972630682862,-0.12493243526480319,-0.55598829389724647,1.154492247150291397653334734172073043988202839232289188768523869334595239171870465027369317138E-17,9.2409328666591908154229567291937934274469498783162339445885872248602961145790207326354266561735561222543103208E-17,0.43105585863244328992254418079927738241665956706252731488202839232289188768523869334595239171870465027369317138,3.4503118242975874122588686851711591871859939705466164725792964965032593311838093374655940970811025503036715669
0.1,25,0.087702764543302776748617145628666970502062715492731909943334939612852541319832735661338346766491357865831170147,0.08770276454330278,-0.40512168506779594,3.515993728299510199953393064536564965056665060387147458680167264338661653233508642134168829853E-18,4.0089884812735941385629999274117214122849828099375266907960374917957998794845478415088944133773946587708300343E-17,0.49282444961109872142776476953003881461493579288531003494333493961285254131983273566133834676649135786583117015,5.6192578669258396355723147391719382264505190503468694984477009948712438421617679871283412425276698496867603099
0.1,26,0.13733057618426629271668926758870250459660958784193143556585704943255864768080764695303122494831480213676794362,0.13733057618426631,0.45513795206097701,1.369981449915208620105038214189439668943414295056744135231919235304696877505168519786323205638E-17,9.9757933592079753666511709695463727971534523474840065837006181966066515914581768326051754958900290890286373181E-17,0.31780737587671072079642075567967956040154028398424043943414295056744135231919235304696877505168519786323205638,2.3141778379367297630259426851888283529940579829250967895305609766228675722258542461838449423169497273434785921
0.1,27,-0.057497030531454102640014344091262326623936591305054281993503130063627570063079051818061046402764961780747818519,-0.057497030531454101,0.47945907250688419,2.107418669469346066984971461452759360118503130063627570063079051818061046402764961780747818519E-18,3.6652652319435345081007136558836120484946398785599310668333432373839274635798760611095082757313628412921771093E-17,0.53695610303833829007679632961642056056453794018200740699350313006362757006307905181806104640276496178074781852,9.3388492949143376337484970875201848784995300672788397270823143685939327803945641828477433299278631344698275351
0.1,28,-0.14371997231779241069621628248916667401957140621800810551455474170746036496983795670451222726832805169358653575,-0.14371997231779243,-0.34470356453066131,2.195160425053125518858266248050074189448544525829253963503016204329548777273167194830641346425E-17,1.5273871749705079227643142890818593331002535102718056715595091504206618062828860279377100243868406527612005242E-16,0.20098359221286889983143202861918407976460828128199189448544525829253963503016204329548777273167194830641346425,1.3984388458443037255764033154286883752075682715585321666484936090994232645544849602995029767066829802416003761
0.1,29,0.027265965954113725897640848387083482990185742147374810456187036889118197866963252566813157622079783228811245580,0.027265965954113722,-0.53067808096612157,4.194496058033393441761056904561925591706187036889118197866963252566813157622079783228811245580E-18,1.5383632713003343858603655667143011894564052840725404093673790008389973544641398879237156024014088410804556799E-16,0.55794404692023529399376855141628019238464069820206231045618703688911819786696325256681315762207978322881124558,20.463021477368786657577986156580933501840026765313436963671714894231833648619569985095735066916628142580840396
0.1,30,0.14429161321150836363577577035322414586059224024570004686077262980377620402302452330515963207533677448612529609,0.14429161321150838,0.22884675645630198,1.574165883735112052535899508580410464063922737019622379597697547669484036792466322551387470391E-17,1.0909614555543414224608264599517928129472470895731821406170955109395405597968855373334560885860909138752376780E-16,0.08455514324479361707312483044951127967127192601406557813922737019622379597697547669484036792466322551387470391,0.58600178737241878319251115774099442199841903507411206686886447151943901598291305703777472766040926028572131055
0.1,31,0.002006447160219010621512606663298858640879365049814675713753822096984435277511490176147209065874840117690403377,0.0020064471602190166,0.55859056914087368,5.996220028036379015227615860856557394598746177903015564722488509823852790934125159882309596623E-18,2.9884764208701468803778887981152823900644975700726806575802033667154637584994098964960755749292624686185027895E-15,0.55658412198065467221920738702859257316759231463768532428624617790301556472248850982385279093412515988230959662,277.39784680893445376519349719738740827381003771231832583733072953931443404877092263208411879543741024663529517
